gameid,objectSet,text
5818-3e5f1ebe-d3b0-427e-a8cd-df1f0781e5c0,3,cassette
5818-3e5f1ebe-d3b0-427e-a8cd-df1f0781e5c0,7,candle
5818-3e5f1ebe-d3b0-427e-a8cd-df1f0781e5c0,1,sunglasses
5818-3e5f1ebe-d3b0-427e-a8cd-df1f0781e5c0,8,mouse
5818-3e5f1ebe-d3b0-427e-a8cd-df1f0781e5c0,6,eraser
5818-3e5f1ebe-d3b0-427e-a8cd-df1f0781e5c0,4,big measuring cup
5818-3e5f1ebe-d3b0-427e-a8cd-df1f0781e5c0,2,B block
5818-3e5f1ebe-d3b0-427e-a8cd-df1f0781e5c0,5,round brush
5916-d53d4ab6-2f9f-47a1-bdf5-744cc44f8b2a,8,mouse
5916-d53d4ab6-2f9f-47a1-bdf5-744cc44f8b2a,6,eraser
5916-d53d4ab6-2f9f-47a1-bdf5-744cc44f8b2a,1,sunglasses
5916-d53d4ab6-2f9f-47a1-bdf5-744cc44f8b2a,2,block
5916-d53d4ab6-2f9f-47a1-bdf5-744cc44f8b2a,5,brush
5916-d53d4ab6-2f9f-47a1-bdf5-744cc44f8b2a,7,red candle
5916-d53d4ab6-2f9f-47a1-bdf5-744cc44f8b2a,4,pyrex cup with red writing
5916-d53d4ab6-2f9f-47a1-bdf5-744cc44f8b2a,3,cassette tape
6229-27cb9668-3653-4e1b-a73d-a44746d18b32,8,mouse
6229-27cb9668-3653-4e1b-a73d-a44746d18b32,1,sunglasses
6229-27cb9668-3653-4e1b-a73d-a44746d18b32,6,eraser
6229-27cb9668-3653-4e1b-a73d-a44746d18b32,4,measuring cup
6229-27cb9668-3653-4e1b-a73d-a44746d18b32,3,cassette tape
6229-27cb9668-3653-4e1b-a73d-a44746d18b32,7,candle
6229-27cb9668-3653-4e1b-a73d-a44746d18b32,5,hairbrush
6229-27cb9668-3653-4e1b-a73d-a44746d18b32,2,block with letter B
6540-7f14fa62-c692-4860-90d4-32baa1137833,6,eraser
6540-7f14fa62-c692-4860-90d4-32baa1137833,5,brush
6540-7f14fa62-c692-4860-90d4-32baa1137833,2,block with letter B
6540-7f14fa62-c692-4860-90d4-32baa1137833,4,measuring cup
6540-7f14fa62-c692-4860-90d4-32baa1137833,1,glasses
6540-7f14fa62-c692-4860-90d4-32baa1137833,8,mouse
6540-7f14fa62-c692-4860-90d4-32baa1137833,3,cassette tape
6540-7f14fa62-c692-4860-90d4-32baa1137833,7,red candle
6708-44bfb893-c34e-412a-9f7a-e95b79d6eab1,7,candle
6708-44bfb893-c34e-412a-9f7a-e95b79d6eab1,3,cassette tape
6708-44bfb893-c34e-412a-9f7a-e95b79d6eab1,2,block
6708-44bfb893-c34e-412a-9f7a-e95b79d6eab1,5,hairbrush
6708-44bfb893-c34e-412a-9f7a-e95b79d6eab1,6,eraser near feather
6708-44bfb893-c34e-412a-9f7a-e95b79d6eab1,4,pyrex measuring cup below chair
6708-44bfb893-c34e-412a-9f7a-e95b79d6eab1,1,sunglasses next to sax
6708-44bfb893-c34e-412a-9f7a-e95b79d6eab1,8,silver mouse
7243-acd434ec-b5d6-4d4e-8c98-bc4cdb2b00ec,7,candle
7243-acd434ec-b5d6-4d4e-8c98-bc4cdb2b00ec,6,eraser
7243-acd434ec-b5d6-4d4e-8c98-bc4cdb2b00ec,4,measuring cup
7243-acd434ec-b5d6-4d4e-8c98-bc4cdb2b00ec,1,sunglasses
7243-acd434ec-b5d6-4d4e-8c98-bc4cdb2b00ec,5,brush
7243-acd434ec-b5d6-4d4e-8c98-bc4cdb2b00ec,3,cassette tape
7243-acd434ec-b5d6-4d4e-8c98-bc4cdb2b00ec,2,lettered cube
7243-acd434ec-b5d6-4d4e-8c98-bc4cdb2b00ec,8,mouse
7744-d41dd430-a713-4edf-a863-c1cde5455560,1,sunglasses
7744-d41dd430-a713-4edf-a863-c1cde5455560,8,mouse
7744-d41dd430-a713-4edf-a863-c1cde5455560,4,pyrex measuring glass with handle
7744-d41dd430-a713-4edf-a863-c1cde5455560,3,cassette tape
7744-d41dd430-a713-4edf-a863-c1cde5455560,2,toy block
7744-d41dd430-a713-4edf-a863-c1cde5455560,7,red candle in a candle holder
7744-d41dd430-a713-4edf-a863-c1cde5455560,5,hairbrush with two lines on handle
7744-d41dd430-a713-4edf-a863-c1cde5455560,6,expo eraser
7782-9f4edcd8-c073-4cec-875f-4681dcc3e900,5,brush
7782-9f4edcd8-c073-4cec-875f-4681dcc3e900,7,candle
7782-9f4edcd8-c073-4cec-875f-4681dcc3e900,1,sunglasses
7782-9f4edcd8-c073-4cec-875f-4681dcc3e900,4,measuring cup
7782-9f4edcd8-c073-4cec-875f-4681dcc3e900,8,mouse
7782-9f4edcd8-c073-4cec-875f-4681dcc3e900,3,cassette tape
7782-9f4edcd8-c073-4cec-875f-4681dcc3e900,2,B block
7782-9f4edcd8-c073-4cec-875f-4681dcc3e900,6,eraser
8181-5b943f79-f3a7-4b00-9e30-648b53212d3a,2,B block
8181-5b943f79-f3a7-4b00-9e30-648b53212d3a,4,measuring cup
8181-5b943f79-f3a7-4b00-9e30-648b53212d3a,6,expo eraser
8181-5b943f79-f3a7-4b00-9e30-648b53212d3a,3,cassette tape
8181-5b943f79-f3a7-4b00-9e30-648b53212d3a,7,red candlestick holder
8181-5b943f79-f3a7-4b00-9e30-648b53212d3a,1,sunglasses
8181-5b943f79-f3a7-4b00-9e30-648b53212d3a,5,brush
8181-5b943f79-f3a7-4b00-9e30-648b53212d3a,8,computer mouse
8402-2678755e-7482-47f0-9372-0cdd1303303c,8,mouse
8402-2678755e-7482-47f0-9372-0cdd1303303c,6,expo
8402-2678755e-7482-47f0-9372-0cdd1303303c,5,brush
8402-2678755e-7482-47f0-9372-0cdd1303303c,7,red candle
8402-2678755e-7482-47f0-9372-0cdd1303303c,2,B cube
8402-2678755e-7482-47f0-9372-0cdd1303303c,3,cassette
8402-2678755e-7482-47f0-9372-0cdd1303303c,1,shades
8402-2678755e-7482-47f0-9372-0cdd1303303c,4,pyrex
8710-e4a804cd-2869-4e25-b1fe-c0c276bc494c,2,block
8710-e4a804cd-2869-4e25-b1fe-c0c276bc494c,6,eraser
8710-e4a804cd-2869-4e25-b1fe-c0c276bc494c,8,computer mouse
8710-e4a804cd-2869-4e25-b1fe-c0c276bc494c,3,cassette tape
8710-e4a804cd-2869-4e25-b1fe-c0c276bc494c,5,brown hairbrush
8710-e4a804cd-2869-4e25-b1fe-c0c276bc494c,4,pyrex measuring cup
8710-e4a804cd-2869-4e25-b1fe-c0c276bc494c,7,red candle
8710-e4a804cd-2869-4e25-b1fe-c0c276bc494c,1,black sunglasses
8834-ddbb439f-b8ec-4e20-8bf0-07bbfe5bb277,1,sunglasses
