gameid,trialNum,distractorType,context,hidden,numDistractors,colorMention,shapeMention,textureMention
1141-78f9cc33-80b2-460f-a3b3-52eff020c08c,3,diff_shape,far,yes,4,TRUE,TRUE,TRUE
1141-78f9cc33-80b2-460f-a3b3-52eff020c08c,4,diff_shape,far,no,3,TRUE,TRUE,TRUE
1141-78f9cc33-80b2-460f-a3b3-52eff020c08c,5,texture_shape,close,no,3,TRUE,TRUE,FALSE
1141-78f9cc33-80b2-460f-a3b3-52eff020c08c,6,shape_only,close,yes,4,TRUE,TRUE,TRUE
1141-78f9cc33-80b2-460f-a3b3-52eff020c08c,7,diff_shape,far,no,4,TRUE,TRUE,TRUE
1141-78f9cc33-80b2-460f-a3b3-52eff020c08c,8,diff_shape,far,yes,4,FALSE,TRUE,FALSE
1141-78f9cc33-80b2-460f-a3b3-52eff020c08c,9,diff_shape,far,yes,4,FALSE,TRUE,FALSE
1141-78f9cc33-80b2-460f-a3b3-52eff020c08c,10,shape_only,close,no,3,TRUE,TRUE,FALSE
1141-78f9cc33-80b2-460f-a3b3-52eff020c08c,11,shape_only,close,yes,2,TRUE,TRUE,FALSE
1141-78f9cc33-80b2-460f-a3b3-52eff020c08c,12,shape_only,close,no,3,TRUE,TRUE,FALSE
1141-78f9cc33-80b2-460f-a3b3-52eff020c08c,13,diff_shape,far,no,2,TRUE,TRUE,FALSE
1141-78f9cc33-80b2-460f-a3b3-52eff020c08c,14,diff_shape,far,yes,4,TRUE,TRUE,FALSE
1141-78f9cc33-80b2-460f-a3b3-52eff020c08c,15,diff_shape,far,no,2,TRUE,TRUE,FALSE
1141-78f9cc33-80b2-460f-a3b3-52eff020c08c,16,texture_shape,close,yes,4,TRUE,TRUE,FALSE
1141-78f9cc33-80b2-460f-a3b3-52eff020c08c,17,diff_shape,far,yes,2,TRUE,TRUE,FALSE
1141-78f9cc33-80b2-460f-a3b3-52eff020c08c,18,texture_shape,close,no,2,TRUE,TRUE,FALSE
1141-78f9cc33-80b2-460f-a3b3-52eff020c08c,19,diff_shape,far,no,2,TRUE,TRUE,FALSE
1141-78f9cc33-80b2-460f-a3b3-52eff020c08c,20,texture_shape,close,yes,3,TRUE,TRUE,FALSE
1141-78f9cc33-80b2-460f-a3b3-52eff020c08c,21,diff_shape,far,no,2,TRUE,TRUE,FALSE
